asset,direction,signal_time,entry_time,exit_time,entry_binance,entry_okx,exit_binance,exit_okx,entry_z,entry_spread_bps,exit_reason,holding_hours,pnl_before_exit_cost,entry_cost,exit_cost,funding_buffer_cost,forced_cost,equity_after,component
DOGE,-1,2024-03-05 19:00:00+00:00,2024-03-05 20:00:00+00:00,2024-03-06 00:00:00+00:00,0.13834,0.13676,0.15306,0.1531,-31.635226427940584,-110.49836186584935,max_hold,4,33.61477016179555,4.115158098050684,4.1269579428761825,5.14189004351433,0.0,10308.126009204065,basis_l168_z5_s60_h4_c1
DOGE,-1,2025-10-10 21:00:00+00:00,2025-10-10 22:00:00+00:00,2025-10-11 02:00:00+00:00,0.18603,0.18249,0.18906,0.18933,-164.8943767642937,-191.59857732726914,max_hold,4,54.59526995779166,4.123250403681626,4.14343921150327,5.1520013794001915,0.0,10349.302588167273,basis_l168_z5_s60_h4_c1
DOGE,1,2021-01-29 01:00:00+00:00,2021-01-29 02:00:00+00:00,2021-01-29 06:00:00+00:00,0.036801,0.036999,0.068807,0.06792,6.524794219745835,66.10161418708256,max_hold,4,84.91436495963626,4.0,4.032365745983855,4.998,0.0,10071.883999213655,basis_l336_z5_s60_h4_c1
DOGE,1,2021-01-29 09:00:00+00:00,2021-01-29 10:00:00+00:00,2021-01-29 12:00:00+00:00,0.036998,0.037161,0.049931,0.049877,6.729376089819558,69.49148550878517,convergence,2,18.556906012633704,4.028753599685462,4.034564860650642,5.033927622806985,0.0,10077.343659143145,basis_l336_z5_s60_h4_c1
DOGE,-1,2021-01-29 16:00:00+00:00,2021-01-29 17:00:00+00:00,2021-01-29 19:00:00+00:00,0.052165,0.051646,0.047308,0.047128,-6.85174018480006,-97.89263822090642,convergence,2,14.173787299588469,4.030937463657258,4.034994603591631,5.036656360839744,0.0,10078.414858014645,basis_l336_z5_s60_h4_c1
DOGE,-1,2021-01-29 22:00:00+00:00,2021-01-29 23:00:00+00:00,2021-01-30 00:00:00+00:00,0.05168,0.051459,0.045873,0.045902,-5.165023132005307,-77.53106544978165,convergence,1,11.0205361655037,4.031365943205858,4.034161611294778,5.0371917460357185,0.0,10076.332674879612,basis_l336_z5_s60_h4_c1
DOGE,1,2021-01-30 07:00:00+00:00,2021-01-30 08:00:00+00:00,2021-01-30 12:00:00+00:00,0.032062,0.032266,0.032681,0.03267,6.305177597186793,66.84205141874405,max_hold,4,17.086210436128347,4.0305330699518445,4.035755340898315,5.03615107090483,0.0,10080.316445833985,basis_l336_z5_s60_h4_c1
DOGE,-1,2021-01-31 21:00:00+00:00,2021-01-31 22:00:00+00:00,2021-02-01 02:00:00+00:00,0.036721,0.036143,0.038615,0.038688,-10.241568171580615,-153.93995597080104,max_hold,4,47.45079823436487,4.032126578333594,4.049494046996007,5.038142159627826,0.0,10114.647481283393,basis_l336_z5_s60_h4_c1
DOGE,1,2021-02-01 02:00:00+00:00,2021-02-01 03:00:00+00:00,2021-02-01 07:00:00+00:00,0.03774,0.038181,0.038522,0.038894,10.451856777060462,136.86224946983396,max_hold,4,5.172864448322073,4.045858992513358,4.046309794695682,5.0553008111454405,0.0,10106.672876133362,basis_l336_z5_s60_h4_c1
DOGE,1,2021-02-01 07:00:00+00:00,2021-02-01 08:00:00+00:00,2021-02-01 12:00:00+00:00,0.039177,0.039621,0.039469,0.039412,9.513339228954052,127.13809866188332,max_hold,4,32.147410797342076,4.042669150453345,4.053911047112101,5.051315103491454,0.0,10125.672391629647,basis_l336_z5_s60_h4_c1
