policy,lookback_hours,entry_abs_z,entry_abs_spread_bps,max_hold_hours,stability_bars,eligible_before_final,all_prefinal_years_positive,score,prefinal_total_return,prefinal_cagr,prefinal_max_drawdown,prefinal_sharpe,prefinal_annual_turnover,prefinal_average_gross,prefinal_max_gross,prefinal_costs,prefinal_trade_count,prefinal_liquidations,prefinal_min_margin_buffer,prefinal_observations_per_year
basis_l672_z4_s45_h4_c2,672,4.0,45.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
basis_l672_z4_s60_h4_c2,672,4.0,60.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
basis_l672_z5_s45_h4_c2,672,5.0,45.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
basis_l672_z5_s60_h4_c2,672,5.0,60.0,4,2,False,False,-0.030387197259645535,-0.00447806959825825,-0.0008973473261681963,-0.007944200046360095,-0.35244200413356386,1.0001391963124386,0.00022818546914932458,0.5,64.78625203861611,5,0,0.5,8765.82
basis_l336_z3_s45_h2_c2,336,3.0,45.0,2,2,False,False,-0.030840180783566547,-0.007627906324756961,-0.0015304703226849403,-0.010579426922923352,-0.3318941391857266,3.4004732674622917,0.00044496166484118293,0.5,224.9281018312197,17,0,0.5,8765.82
basis_l168_z3_s45_h1_c1,168,3.0,45.0,1,1,False,False,-0.032247062974441125,-0.01014657614568426,-0.00203788530791138,-0.014531666329793302,-0.28193935020516614,12.40172603427424,0.0007758305951077035,0.5,800.8665457378426,62,0,0.5,8765.82
basis_l672_z3_s45_h2_c2,672,3.0,45.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l672_z3_s60_h2_c2,672,3.0,60.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l672_z4_s45_h2_c2,672,4.0,45.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l672_z4_s60_h2_c2,672,4.0,60.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l672_z5_s45_h2_c2,672,5.0,45.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l672_z5_s60_h2_c2,672,5.0,60.0,2,2,False,False,-0.03336278163490141,-0.004520749453616357,-0.0009059153390452712,-0.007544245218652379,-0.3862791302117619,1.600222714099902,0.0002395947426067908,0.5,108.58410396062266,8,0,0.5,8765.82
basis_l168_z3_s30_h4_c2,168,3.0,30.0,4,2,False,False,-0.03613219601176835,-0.010513971805416022,-0.002111987680749161,-0.01541846222611043,-0.3709746544841665,5.600779499349657,0.0011523366192040892,0.5,363.4991863670599,28,0,0.5,8765.82
basis_l336_z4_s30_h4_c2,336,4.0,30.0,4,2,False,False,-0.0375355140256098,-0.008507996441141752,-0.0017076573704909448,-0.012930449676546996,-0.4091820141762721,3.600501106724779,0.000798649142022636,0.5,233.49193998666456,18,0,0.5,8765.82
basis_l168_z5_s30_h2_c2,168,5.0,30.0,2,2,False,False,-0.04330196119336342,-0.00972167914770905,-0.0019522125558522063,-0.014523249705909569,-0.4699637939425206,4.600640303037218,0.0005818729463307776,0.5,303.72733976746656,23,0,0.5,8765.82
basis_l336_z3_s30_h4_c2,336,3.0,30.0,4,2,False,False,-0.04678338727994602,-0.013439804777239273,-0.0027029045296873555,-0.016500020614699018,-0.4953761367389241,5.600779499349657,0.0011751551661190215,0.5,362.603188469429,28,0,0.5,8765.82
basis_l672_z5_s30_h2_c1,672,5.0,30.0,2,1,False,False,-0.0484370739353395,-0.01342204712687034,-0.002699313873826492,-0.0245881411586093,-0.4984809084773723,6.8009465349245835,0.0007758305951077035,0.5,440.0261790564209,34,0,0.5,8765.82
