policy,family,flow_threshold,pressure_threshold,volume_threshold,max_impact_bps,depth_threshold,persistence,hold_minutes,eligible_development,preliminary_gate,btc_development_return,eth_development_return,score,development_total_return,development_cagr,development_max_drawdown,development_sharpe,development_annual_turnover,development_average_gross,development_max_gross,development_costs,development_trade_count,development_unexplained_events
absorption_reversal_f2_p0.5_v0_i6_d0_n1_h12,absorption_reversal,2.0,0.5,0.0,6.0,0.0,1,12,False,False,,,-1.60136473912658,-0.6204254656074718,-0.4762932842731423,-0.6205628366406482,-18.80309299161902,1228.605216084217,0.01401586179141503,0.2,5913.695268114735,4600,0
absorption_reversal_f1.5_p1_v0_i6_d0_n1_h12,absorption_reversal,1.5,1.0,0.0,6.0,0.0,1,12,False,False,,,-1.6347939114637229,-0.6302927213445846,-0.48542338396665585,-0.6304265213396842,-19.176400419615867,1275.0785438230548,0.014546026998307687,0.2,6057.867908879351,4774,0
absorption_reversal_f2_p1_v0_i6_d0_n1_h1,absorption_reversal,2.0,1.0,0.0,6.0,0.0,1,1,False,False,,,-1.6584330395416695,-0.4878781620120646,-0.36034960686503736,-0.4878840570142817,-23.287754460403328,849.0730395503751,0.000807181605704862,0.2,4622.770299799976,3179,0
flow_exhaustion_reversal_f2_p0_v1_i3_d0_n1_h12,flow_exhaustion_reversal,2.0,0.0,1.0,3.0,0.0,1,12,False,False,,,-1.7086773795791348,-0.7104563400392662,-0.5629052498859847,-0.71056154641316,-18.332530686252994,1580.8944073918437,0.018034757813779473,0.2,6748.881011840644,5919,0
reversed_agreement_control_f2_p1.5_v0_i0_d0_n1_h3,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,1,3,False,False,,,-1.7274540431688168,-0.6555083569892384,-0.5091318533842735,-0.6555083569892384,-20.447578966528415,1303.9240575919885,0.0037187737644395753,0.2,5981.452137741973,4882,0
agreement_continuation_f1.5_p1.5_v0_i0_d0_n1_h12,agreement_continuation,1.5,1.5,0.0,0.0,0.0,1,12,False,False,,,-1.7383012054065912,-0.7410978227292635,-0.5943618076464365,-0.7411316860025519,-17.62791162690488,1884.3064781465546,0.021496066290963706,0.2,7855.268769294073,7055,1
agreement_continuation_f2_p1.5_v0_i0_d0_n1_h1,agreement_continuation,2.0,1.5,0.0,0.0,0.0,1,1,False,False,,,-1.7763710490538656,-0.6136309424190804,-0.4700521822396375,-0.6136309424190804,-22.164667581387654,1367.223935029371,0.0012997680527219845,0.2,6607.048756884862,5119,0
reversed_agreement_control_f1.5_p1.5_v0_i0_d0_n1_h12,reversed_agreement_control,1.5,1.5,0.0,0.0,0.0,1,12,False,False,,,-1.8302367405176003,-0.7708811269337021,-0.6261480108332054,-0.7708950555980515,-18.771371526198685,1884.3064781465546,0.021496066290963706,0.2,7277.080862989025,7055,1
reversed_agreement_control_f2_p1_v0_i0_d0_n1_h12,reversed_agreement_control,2.0,1.0,0.0,0.0,0.0,1,12,False,False,,,-1.8512350816152634,-0.7700875397817732,-0.6252838822153373,-0.7701015166901146,-19.068651310385047,1955.084822116624,0.022303501807208265,0.2,7429.041561311747,7320,0
reversed_agreement_control_f2_p1.5_v0_i0_d0_n1_h1,reversed_agreement_control,2.0,1.5,0.0,0.0,0.0,1,1,False,False,,,-1.8606280017711274,-0.6661774610438145,-0.519335812099569,-0.666193189666369,-22.75900954403969,1367.223935029371,0.0012997680527219845,0.2,6217.328721462382,5119,0
agreement_continuation_f2_p1_v0_i0_d0_n1_h12,agreement_continuation,2.0,1.0,0.0,0.0,0.0,1,12,False,False,,,-1.8611759311791105,-0.767933041497919,-0.6229428538420079,-0.7679866189533464,-19.318518664602113,1955.084822116624,0.022303501807208265,0.2,7951.044841531057,7320,0
flow_exhaustion_reversal_f2_p0_v1_i3_d0_n1_h3,flow_exhaustion_reversal,2.0,0.0,1.0,3.0,0.0,1,3,False,False,,,-1.8687589820553439,-0.7699157276260283,-0.6250969283802064,-0.7699157276260283,-19.62782945130451,1852.79008347309,0.005284132241687286,0.2,7288.0299767823,6937,0
flow_exhaustion_reversal_f2_p0_v1_i3_d0_n1_h1,flow_exhaustion_reversal,2.0,0.0,1.0,3.0,0.0,1,1,False,False,,,-1.8863887533457826,-0.7841407219978076,-0.6407371401741068,-0.7841432067403592,-19.452204019689454,1946.2709151316717,0.001850246102790604,0.2,7460.545703231134,7287,0
absorption_reversal_f1.5_p0.5_v0_i3_d0_n1_h3,absorption_reversal,1.5,0.5,0.0,3.0,0.0,1,3,False,False,,,-1.9101834941579754,-0.6616241362502482,-0.5149679400216078,-0.6616241362502482,-23.830589654740926,1375.2365777429634,0.003922156106738912,0.2,6290.4984193113905,5149,0
absorption_reversal_f2_p0.5_v0_i6_d0_n1_h3,absorption_reversal,2.0,0.5,0.0,6.0,0.0,1,3,False,False,,,-1.9191360154015213,-0.6710364900998201,-0.5240188314153551,-0.6710364900998201,-23.800182372781443,1380.044163371119,0.003935867275882688,0.2,6237.825794716883,5167,0
absorption_reversal_f1.5_p1_v0_i6_d0_n1_h3,absorption_reversal,1.5,1.0,0.0,6.0,0.0,1,3,False,False,,,-1.9663553189105445,-0.6828234633240664,-0.5354754983341048,-0.6828234633240664,-24.3342791847711,1458.8351500547806,0.004160578103516788,0.2,6525.487935650427,5462,0
flow_exhaustion_reversal_f1.5_p0_v1_i3_d0_n1_h12,flow_exhaustion_reversal,1.5,0.0,1.0,3.0,0.0,1,12,False,False,,,-1.98220533370607,-0.8237925151502792,-0.6862706064763093,-0.8238565405567982,-19.79084583422148,2240.0678146300716,0.025554572357521278,0.2,7798.153982924276,8387,1
