symbol,month,expected_minutes,joined_minutes,complete_minutes,coverage,full_month,depth_raw_rows,mark_raw_rows,depth_archive_count,mark_archive_count,dataset,archive_count
ETHUSD_PERP,2025-08,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-09,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-10,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-11,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2025-12,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-01,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-02,40320,,40320,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-03,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-04,43200,,43200,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-05,44640,,44640,1.0,True,,,,,regular_kline_flow,1.0
ETHUSD_PERP,2026-06,43200,,41760,0.9666666666666667,True,,,,,regular_kline_flow,1.0
