name,family,threshold,budget,hold_days,band,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_no_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_prefinal_cagr,gate_stress_prefinal_drawdown,gate_stress_no_liquidations,gate_stress_positive_margin,eligible_before_2021,score
spot_spike_t30_b05_h14,spot_spike_long,0.3,0.05,14,0.0,0.0016737227735190707,0.02538974431485208,-0.10948763074046208,0.07207310525635272,0.702420837947167,0,0.8720472440944882,-0.001719058990164224,-0.02724477926670088,0.015388785186914333,False,False,True,True,False,False,True,True,True,False,,,,,False,False,False,False,False,0.013652527053688145
spot_spike_t10_b05_h14,spot_spike_long,0.1,0.05,14,0.0,0.008612827701075965,0.1372093294617993,-0.2129650264794497,0.11899073686088346,1.6952577278207943,0,0.8720472440944883,-0.07160092788387629,-0.04689748899937762,-0.02802844921093328,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,0.012781301745102596
backwardation_t05_b05_h14,backwardation_long,0.05,0.05,14,0.0,0.000906358139133534,0.013675336175096753,-0.07985715403535287,0.04941388595796604,0.3567255259059616,0,0.8720472440944883,0.02137987779533912,-0.039051900693032326,0.029428381644263535,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,0.007730769959497053
tail_t90_b10_h14,tail_long,0.9,0.1,14,0.0,0.0036357334234404792,0.05591838456979459,-0.16676074113991524,0.09049864286841479,1.2810605232603303,0,0.8440944881889763,0.04189706981660679,-0.0127017112233343,0.05395491710665001,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,0.0015791339127348269
spot_spike_t30_b05_h7,spot_spike_long,0.3,0.05,7,0.0,0.000770492216322527,0.011614299594154387,-0.08979763599020685,0.0429340606754804,0.649765237409265,0,0.872047244094488,-0.009382629016295496,-0.003761828795740718,0.044392516971429874,False,False,True,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.006921425261070623
tail_t80_b15_h7,tail_long,0.8,0.15,7,0.0,0.006511773479979777,0.1022053998001562,-0.2254854935258328,0.1185334954467121,2.6751511709500093,0,0.8161417322834645,0.019682513198850504,0.01764832391537796,-0.03136925319516337,False,False,False,True,True,True,False,True,True,False,,,,,False,False,False,False,False,-0.00793721606574484
backwardation_t05_b05_h7,backwardation_long,0.05,0.05,7,0.0,0.0004606087822196514,0.006928104665729684,-0.0821606591678874,0.0313302465732367,0.3558180784992019,0,0.8720472440944881,0.02765202623775509,-0.04134952287123417,0.03276117954278823,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.012387046231259713
backwardation_t00_b10_h3,backwardation_long,0.0,0.1,3,0.0,0.0017907505940253365,0.027187327374807113,-0.14466835567905623,0.05972921214064083,1.4395711757471736,0,0.8440944881889763,0.06815580424682754,0.012755998422703696,-0.02333856939196488,False,False,True,True,True,True,False,True,True,False,,,,,False,False,False,False,False,-0.02341917626830834
spot_spike_t20_b10_h3,spot_spike_long,0.2,0.1,3,0.0,0.0033829167727901233,0.05193752549311714,-0.20915511504096784,0.09029721597357857,1.888193441566346,0,0.8440944881889764,-0.05976601426153394,-0.008116536633043347,0.0702740915611888,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.02639644241698857
backwardation_t05_b10_h14,backwardation_long,0.05,0.1,14,0.0,0.0012166351823741373,0.018396829420082916,-0.15539108796895884,0.0496927700488741,0.7054610504974945,0,0.8440944881889764,0.04212714795710104,-0.07778648274893485,0.05769600353080717,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.03262411407583199
spot_spike_t30_b10_h14,spot_spike_long,0.3,0.1,14,0.0,0.0026281193485697685,0.04013563702829326,-0.20942972497625367,0.07371847919283599,1.3928171262930908,0,0.8440944881889764,-0.0050030811708469125,-0.05864099924759991,0.028892542692813272,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.03966831586108222
tail_t90_b15_h14,tail_long,0.9,0.15,14,0.0,0.004173897136365623,0.06443919277405197,-0.2437502947250525,0.0910439158771758,1.9046958847820357,0,0.8161417322834646,0.06154437534762636,-0.025325071110866015,0.0792402412492097,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.04153039606043957
backwardation_t02_b05_h14,backwardation_long,0.02,0.05,14,0.0,-0.00039934472462210824,-0.005970587699172469,-0.08835923990024219,0.0019102906040060089,0.5716295768878602,0,0.8720472440944882,0.008071933433991374,-0.018005170443728402,0.008416505809746733,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.04878431456423791
spot_spike_t30_b10_h7,spot_spike_long,0.3,0.1,7,0.0,0.0009924298563002143,0.01498303984349314,-0.1737480773175114,0.04430473880253117,1.2923926259634004,0,0.8440944881889764,-0.019759790258132237,-0.011484361811897492,0.08896270860212785,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.05350836640325811
backwardation_t05_b10_h7,backwardation_long,0.05,0.1,7,0.0,0.0003512618624514907,0.005279353602136272,-0.16035329338543713,0.031596888715726246,0.7044627544251959,0,0.8440944881889765,0.05501119653108244,-0.0820783927187082,0.06470772187113583,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.0549218617963413
backwardation_t00_b15_h3,backwardation_long,0.0,0.15,3,0.0,0.0013896181591155354,0.02103801869586297,-0.21394531888130486,0.06064530604853322,2.1446370527335095,0,0.8161417322834646,0.10171385475700512,0.013167799511433653,-0.03778249860731364,False,False,False,True,True,True,False,True,True,False,,,,,False,False,False,False,False,-0.06499448760122324
backwardation_t05_b15_h14,backwardation_long,0.05,0.15,14,0.0,0.0009113764418962056,0.013751536997449243,-0.22788231640881917,0.04997337363241937,1.0462664968087994,0,0.8161417322834644,0.06219311113214965,-0.11611624399650144,0.08468430707705776,False,False,False,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.0726076966562858
backwardation_t00_b05_h7,backwardation_long,0.0,0.05,7,0.0,-0.0011824474243061767,-0.0175822583212083,-0.0886225033196717,-0.022404902754453872,0.7372978949732276,0,0.8720472440944881,0.02639485054325763,-0.0048782679825197794,-0.012858862953532002,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.07645402821263435
backwardation_t02_b05_h3,backwardation_long,0.02,0.05,3,0.0,-0.001109495850994513,-0.01650592009349028,-0.09075058007280457,-0.024176688206294997,0.5373045432629975,0,0.8720472440944881,0.01721523375130829,-0.010562860047113931,0.004328188551247836,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.07714401537731629
spot_spike_t20_b15_h3,spot_spike_long,0.2,0.15,3,0.0,0.004182093063598957,0.06456945453818164,-0.2995411880301295,0.09119660667097322,2.8228889631574776,0,0.8161417322834644,-0.0898420770998416,-0.01840768875012455,0.1045201883585909,False,False,False,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.0784386908484684
spot_spike_t20_b05_h7,spot_spike_long,0.2,0.05,7,0.0,-0.0003562982237257373,-0.005328604675659099,-0.14211917775550642,0.0006587387967728987,1.0035528869089296,0,0.8720472440944882,-0.030472439488293146,-0.013345208948163156,0.04175270140033027,False,False,True,True,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.08114897539752108
backwardation_t02_b05_h7,backwardation_long,0.02,0.05,7,0.0,-0.0013643967902364773,-0.020261977520535712,-0.09087890833812695,-0.03175348885853944,0.5683056377294977,0,0.8720472440944882,0.015561103120018682,-0.0165003418637939,-0.0006501352125144466,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.08560479298537084
spot_spike_t10_b10_h14,spot_spike_long,0.1,0.1,14,0.0,0.009179032987746805,0.14681833616004436,-0.3876467809517705,0.11984252673217805,3.3576945281249673,0,0.8440944881889761,-0.1404608486056952,-0.09755316896939803,-0.058151693320745323,False,False,False,True,False,False,False,True,True,False,,,,,False,False,False,False,False,-0.08919974304946328
backwardation_t05_b05_h3,backwardation_long,0.05,0.05,3,0.0,-0.0012294095756032464,-0.018274563036601132,-0.08465939764159958,-0.040964638178025835,0.3509413112670921,0,0.8720472440944881,0.02765202623775531,-0.04681446531746458,0.03146803636716866,False,False,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,-0.08926256926270304
