policy,family,universe,target_vol,gross_cap,rebalance_days,no_trade_band,eligible_before_2021,prefinal_cagr,prefinal_sharpe,prefinal_max_drawdown,annual_turnover,validation_2016_2018_return,validation_2019_2020_return,worst_validation_return,stress_prefinal_cagr,stress_prefinal_dd,score
ensemble_v12_g100_r10_b5_micro,ensemble,micro,0.12,1.0,10,0.05,False,0.0032176057128103785,0.09919483364334127,-0.12924279606597378,5.979641645566768,0.012925474486167987,0.017032944866997024,0.012925474486167987,0.00020479912868220929,-0.13480937499954293,-0.07198169049744478
ensemble_v12_g125_r10_b5_micro,ensemble,micro,0.12,1.25,10,0.05,False,0.0032176057128103785,0.09919483364334127,-0.12924279606597378,5.979641645566768,0.012925474486167987,0.017032944866997024,0.012925474486167987,0.00020479912868220929,-0.13480937499954293,-0.07198169049744478
ensemble_v10_g100_r10_b2_micro,ensemble,micro,0.1,1.0,10,0.02,False,0.003211572588164069,0.09910768240579755,-0.1294613369592711,6.007026793438686,0.013603732458221662,0.01693859729391578,0.013603732458221662,0.00018575135602705295,-0.13508554463590994,-0.07223568129171858
ensemble_v10_g125_r10_b2_micro,ensemble,micro,0.1,1.25,10,0.02,False,0.003211572588164069,0.09910768240579755,-0.1294613369592711,6.007026793438686,0.013603732458221662,0.01693859729391578,0.013603732458221662,0.00018575135602705295,-0.13508554463590994,-0.07223568129171858
ensemble_v10_g100_r10_b5_micro,ensemble,micro,0.1,1.0,10,0.05,False,0.003048797483686805,0.09511166320423568,-0.12924279606597255,5.963256648341434,0.012925474486168875,0.015153819943604763,0.012925474486168875,4.535185508736106e-05,-0.13480937499954193,-0.07493175130468477
ensemble_v10_g125_r10_b5_micro,ensemble,micro,0.1,1.25,10,0.05,False,0.003048797483686805,0.09511166320423568,-0.12924279606597255,5.963256648341434,0.012925474486168875,0.015153819943604763,0.012925474486168875,4.535185508736106e-05,-0.13480937499954193,-0.07493175130468477
ensemble_v10_g100_r5_b5_micro,ensemble,micro,0.1,1.0,5,0.05,False,0.0029159341959643648,0.09200193961300684,-0.1036425645998792,8.351129492154394,0.01173581905606147,0.003918419240898308,0.003918419240898308,-0.0012803996800088147,-0.11126141095140873,-0.10489578894077282
ensemble_v10_g125_r5_b5_micro,ensemble,micro,0.1,1.25,5,0.05,False,0.0029159341959643648,0.09200193961300684,-0.1036425645998792,8.351129492154394,0.01173581905606147,0.003918419240898308,0.003918419240898308,-0.0012803996800088147,-0.11126141095140873,-0.10489578894077282
ensemble_v15_g100_r5_b5_micro,ensemble,micro,0.15,1.0,5,0.05,False,0.0029212109267893194,0.09211233607567526,-0.10364256459988086,8.367137146113778,0.011735819056066354,0.00397646859455425,0.00397646859455425,-0.0012831435693050341,-0.11126141095141195,-0.10501904808781867
ensemble_v15_g125_r5_b5_micro,ensemble,micro,0.15,1.25,5,0.05,False,0.0029212109267893194,0.09211233607567526,-0.10364256459988086,8.367137146113778,0.011735819056066354,0.00397646859455425,0.00397646859455425,-0.0012831435693050341,-0.11126141095141195,-0.10501904808781867
ensemble_v12_g100_r5_b5_micro,ensemble,micro,0.12,1.0,5,0.05,False,0.0029212109267890973,0.0921123360756733,-0.10364256459988064,8.367137146113778,0.011735819056066799,0.003976468594555582,0.003976468594555582,-0.0012831435693051452,-0.11126141095140707,-0.10501904808781971
ensemble_v12_g125_r5_b5_micro,ensemble,micro,0.12,1.25,5,0.05,False,0.0029212109267890973,0.0921123360756733,-0.10364256459988064,8.367137146113778,0.011735819056066799,0.003976468594555582,0.003976468594555582,-0.0012831435693051452,-0.11126141095140707,-0.10501904808781971
ensemble_v10_g100_r5_b2_micro,ensemble,micro,0.1,1.0,5,0.02,False,0.0028337642849689537,0.0898763098378833,-0.1022807769469668,8.462934339301425,0.013598346979450726,-0.00293674330079452,-0.00293674330079452,-0.0014183473191380358,-0.10992691860179948,-0.11097182975694579
