,equity,gross,turnover,min_margin_buffer,liquidated_notional,trading_costs,roll_costs,liquidation_penalty
2021-04-21 00:00:00+00:00,19994.910153137407,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-22 00:00:00+00:00,19798.744356883344,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-23 00:00:00+00:00,19783.06574020184,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-24 00:00:00+00:00,19613.94138499837,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-25 00:00:00+00:00,19689.050104270715,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-26 00:00:00+00:00,20062.536859239463,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-27 00:00:00+00:00,20285.64471044293,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-28 00:00:00+00:00,20481.74188140465,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-29 00:00:00+00:00,20512.36989724339,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-30 00:00:00+00:00,20605.699035275928,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-01 00:00:00+00:00,20853.368619962708,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-02 00:00:00+00:00,20828.106380600704,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-03 00:00:00+00:00,21394.36505778083,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-04 00:00:00+00:00,21400.87179061301,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-05 00:00:00+00:00,21903.531443981075,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-06 00:00:00+00:00,21849.72485558538,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-07 00:00:00+00:00,21958.08623025551,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-08 00:00:00+00:00,22150.67473169073,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-09 00:00:00+00:00,22148.69753512024,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-10 00:00:00+00:00,21907.722573467472,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-11 00:00:00+00:00,22264.347562993287,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-12 00:00:00+00:00,21802.817393672693,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-13 00:00:00+00:00,22026.390762608164,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-14 00:00:00+00:00,22432.97214548394,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-15 00:00:00+00:00,22145.292515179608,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-16 00:00:00+00:00,22145.581340029305,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-17 00:00:00+00:00,21833.156407516024,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-18 00:00:00+00:00,21886.12895908184,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-19 00:00:00+00:00,20638.333133196746,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-20 00:00:00+00:00,21214.45329445434,0.0,0.0,1.0,0.0,0.0,0.0,0.0
