date,SPY,QQQ,IWM,EFA,EEM,VNQ,TLT,IEF,HYG,GLD,DBC,UUP,FXE,FXY,FX_EURUSD,FX_GBPUSD,FX_AUDUSD,FX_NZDUSD,FX_USDJPY,FX_USDCAD,FX_USDCHF
2012-09-11 00:00:00+00:00,0.04927976186514704,0.05482730133169073,0.03861769969349485,0.01148266732274111,-0.02023386715610097,0.07165245263082537,0.029896181436262714,0.09973124385650078,0.06177882470723653,-0.002214381176048802,-0.060265094171840214,0.019235715092931586,-0.047038522842133335,0.0431007620649351,-0.017974626829923828,0.05159705987145863,0.00952974411019826,-0.009032175010657442,-0.028389586766834653,-0.029313458878349283,0.018225848532577932
2012-09-12 00:00:00+00:00,0.04927976186514704,0.054827301331690725,0.03861769969349485,0.01148266732274111,-0.02023386715610097,0.07165245263082537,0.029896181436262714,0.09973124385650078,0.06177882470723653,-0.002214381176048802,-0.06026509417184021,0.019235715092931586,-0.04703852284213333,0.0431007620649351,-0.017974626829923828,0.05159705987145863,0.00952974411019826,-0.009032175010657442,-0.028389586766834653,-0.029313458878349283,0.018225848532577932
2012-09-13 00:00:00+00:00,0.049279761865147036,0.054827301331690725,0.038617699693494836,0.011482667322741108,-0.020233867156100968,0.07165245263082536,0.029896181436262714,0.09973124385650078,0.061778824707236515,-0.002214381176048788,-0.06026509417184019,0.019235715092931583,-0.04703852284213332,0.0431007620649351,-0.017974626829923825,0.051597059871458614,0.009529744110198258,-0.00903217501065744,-0.028389586766834653,-0.029313458878349276,0.01822584853257793
2012-09-14 00:00:00+00:00,0.06434279495649455,0.041419250368463195,0.03917385573954447,0.018370802677176133,-0.007089171416337494,0.07569787484198419,0.024257133426903027,0.06077583863213984,0.10637327794095715,-0.003374883705478636,-0.02006261629452134,-0.003400563856084041,-0.03754009986847015,0.04142724419734864,-0.008467091213900364,0.043893253341169676,0.0124451064908347,0.004499651195153339,-0.021729453737281232,-0.045860792782841095,0.014538391705724924
2012-09-17 00:00:00+00:00,0.06434279495649455,0.0414192503684632,0.03917385573954447,0.018370802677176133,-0.007089171416337495,0.07569787484198419,0.02425713342690303,0.060775838632139846,0.10637327794095715,-0.00337488370547865,-0.020062616294521347,-0.0034005638560840375,-0.03754009986847016,0.041427244197348646,-0.008467091213900364,0.04389325334116968,0.0124451064908347,0.004499651195153338,-0.021729453737281232,-0.045860792782841095,0.014538391705724924
2012-09-18 00:00:00+00:00,0.06434279495649453,0.04141925036846319,0.03917385573954446,0.01837080267717613,-0.007089171416337492,0.07569787484198418,0.024257133426903024,0.060775838632139825,0.10637327794095713,-0.003374883705478629,-0.020062616294521326,-0.0034005638560840445,-0.037540099868470136,0.04142724419734864,-0.00846709121390036,0.04389325334116967,0.012445106490834698,0.004499651195153341,-0.021729453737281225,-0.04586079278284109,0.01453839170572492
2012-09-19 00:00:00+00:00,0.06434279495649455,0.041419250368463195,0.039173855739544475,0.018370802677176133,-0.007089171416337496,0.0756978748419842,0.02425713342690303,0.060775838632139846,0.10637327794095716,-0.00337488370547865,-0.020062616294521347,-0.0034005638560840375,-0.03754009986847016,0.041427244197348646,-0.008467091213900364,0.04389325334116968,0.0124451064908347,0.004499651195153338,-0.021729453737281232,-0.045860792782841095,0.014538391705724924
2012-09-20 00:00:00+00:00,0.06434279495649455,0.0414192503684632,0.039173855739544475,0.018370802677176133,-0.007089171416337496,0.0756978748419842,0.02425713342690303,0.060775838632139846,0.10637327794095716,-0.00337488370547865,-0.020062616294521347,-0.0034005638560840375,-0.03754009986847016,0.041427244197348646,-0.008467091213900364,0.04389325334116968,0.0124451064908347,0.004499651195153338,-0.021729453737281232,-0.045860792782841095,0.014538391705724924
2012-09-21 00:00:00+00:00,0.06434279495649455,0.04141925036846319,0.03917385573954447,0.018370802677176133,-0.007089171416337494,0.07569787484198419,0.024257133426903024,0.06077583863213983,0.10637327794095715,-0.003374883705478636,-0.02006261629452134,-0.003400563856084041,-0.03754009986847015,0.04142724419734864,-0.008467091213900362,0.04389325334116968,0.0124451064908347,0.00449965119515334,-0.02172945373728123,-0.045860792782841095,0.014538391705724922
2012-09-24 00:00:00+00:00,0.06434279495649455,0.041419250368463195,0.03917385573954447,0.018370802677176133,-0.007089171416337494,0.07569787484198419,0.024257133426903027,0.06077583863213983,0.10637327794095715,-0.003374883705478636,-0.02006261629452134,-0.0034005638560840393,-0.03754009986847015,0.04142724419734864,-0.008467091213900364,0.04389325334116968,0.0124451064908347,0.00449965119515334,-0.02172945373728123,-0.045860792782841095,0.014538391705724924
