candidate,eligible_selection,score,check_development_positive,check_validation_a_positive,check_validation_b_positive,check_selection_cagr_min,check_selection_sharpe_min,check_selection_max_drawdown_min,check_selection_turnover_max,check_worst_severe_period_min,selection_cagr,selection_sharpe,selection_dd,selection_turnover
tsmom+crisis__vol10__cap075__r5__b05,False,-0.028172850769359055,True,False,False,False,False,True,False,False,0.004653434914034582,0.07813802477997499,-0.17987427492004682,14.337392508990972
tsmom+relative__vol12__cap125__r5__b05,False,-0.0282044752714437,True,True,True,False,False,True,False,False,0.00859118154890015,0.1051177973015529,-0.20785959427200218,22.17419482335297
tsmom+breakout__vol10__cap075__r5__b05,False,-0.028592324215351468,True,False,False,False,False,True,False,False,0.0033325881179004924,0.06010782062910276,-0.1647575208379526,13.432009912439032
crisis__vol12__cap100__r5__b05,False,-0.02916289322523053,True,True,False,False,False,True,True,True,0.0012954451070894546,0.01821109870622061,-0.17891185047548552,5.4202469025240365
tsmom+breakout__vol10__cap075__r5__b10,False,-0.02929321660874,True,False,False,False,False,True,False,False,0.0031646288720028615,0.0570422363005049,-0.1679813301922508,13.330432988392507
crisis__vol10__cap125__r20__b10,False,-0.02931787777649362,True,True,False,False,False,True,True,False,0.0021039053709541733,0.029794388526790762,-0.170847640661816,4.087270111329774
crisis__vol12__cap100__r10__b10,False,-0.029853005964188835,True,True,False,False,False,True,True,True,0.0012220315484043898,0.01734168471019894,-0.19402445128030887,4.149366765833496
tsmom+ma+breakout+relative+crisis__vol12__cap100__r5__b10,False,-0.029923828921832884,True,False,True,False,False,True,False,False,0.00978313514621143,0.1316298869807131,-0.1926848016178957,27.005526289440716
tsmom+crisis__vol08__cap100__r5__b10,False,-0.03048163857749929,True,False,False,False,False,False,False,False,0.00789863069035146,0.12033137036332567,-0.22417543100834725,18.265278774789806
tsmom+ma+breakout+relative+crisis__vol10__cap125__r20__b10,False,-0.030588863987311855,True,False,True,False,False,False,False,False,0.01548994479595378,0.1924589028233552,-0.25561539525461197,26.327988716955886
tsmom+breakout__vol08__cap100__r5__b05,False,-0.030635253945863604,True,False,True,False,False,True,False,False,0.005605296115597902,0.0897038721237506,-0.1788684804033418,17.240826824657066
tsmom+ma+breakout+relative+crisis__vol10__cap125__r20__b05,False,-0.030763300158897586,True,False,True,False,False,False,False,False,0.015508697756503764,0.19269836034225318,-0.2563532074444653,26.357114105731302
crisis__vol10__cap100__r20__b05,False,-0.030769197401384313,True,True,False,False,False,True,True,False,0.00044427579447692267,0.00699349439918945,-0.1682750557044883,3.399750303998284
tsmom+breakout__vol08__cap100__r5__b10,False,-0.030849093861644555,True,False,True,False,False,True,False,False,0.005529753033472362,0.08848553246689386,-0.17971886052939523,17.202019570625655
tsmom+ma+breakout+relative+crisis__vol12__cap100__r5__b05,False,-0.03131343934001701,True,False,True,False,False,True,False,False,0.009349027423776635,0.12580460943397614,-0.19414899161875965,27.1948754417597
tsmom+crisis__vol12__cap075__r5__b05,False,-0.03144149430391455,True,False,False,False,False,True,False,False,0.003766340801043544,0.0602652071755778,-0.1798742749200437,14.403450017125097
crisis__vol10__cap100__r20__b10,False,-0.03200114585990446,True,True,False,False,False,True,True,False,0.00020696531523212158,0.0032566504544123687,-0.17315414749143876,3.358097486814822
tsmom+breakout__vol12__cap075__r5__b05,False,-0.0323650860533639,True,False,False,False,False,True,False,False,0.002529255919158313,0.043406200768534936,-0.17754911409259544,13.5303187723066
tsmom+crisis__vol08__cap100__r5__b05,False,-0.03249923213428789,True,False,False,False,False,False,False,False,0.00729947075016435,0.11124627242327881,-0.22652874908877574,18.473007272606566
crisis__vol12__cap100__r5__b10,False,-0.03254887590676126,True,True,False,False,False,True,True,False,0.00035591636009302263,0.004993802787927946,-0.18777929598210885,5.343197581295282
tsmom__vol08__cap125__r10__b10,False,-0.0325771174103707,True,True,False,False,False,True,True,False,0.00424822543185166,0.060582556018825735,-0.20755407536481496,11.665129434220722
crisis__vol10__cap075__r20__b10,False,-0.03268070050747957,True,True,False,False,False,True,True,False,-0.0008955700445121284,-0.01682249179949731,-0.16780521250985014,2.5365323632949353
tsmom__vol08__cap125__r10__b05,False,-0.03286648700559781,True,True,False,False,False,True,True,False,0.004199893162904811,0.059887151405841534,-0.20899036756714373,11.71424606052232
tsmom+breakout__vol12__cap075__r5__b10,False,-0.03322184227301194,True,False,False,False,False,True,False,False,0.0023135025787339725,0.03967736755751108,-0.18125741072493085,13.42561319603496
crisis__vol10__cap075__r20__b05,False,-0.03323976220117131,True,True,False,False,False,True,True,False,-0.0011138111791502148,-0.02095572930249555,-0.16810611489535798,2.5708800349382686
crisis__vol12__cap125__r10__b05,False,-0.033256124013858884,True,True,False,False,False,True,True,False,0.0019106729211177953,0.02391848852642288,-0.21443592466715844,5.256486906842498
tsmom+ma+crisis__vol08__cap075__r20__b10,False,-0.033340192015212135,True,False,True,False,False,True,False,False,0.003808046726702541,0.0697159383395349,-0.17020665152176484,18.50998598555135
