kind,symbol,month,url,bytes,sha256,checksum_available,checksum_passed,rows,missing
fundingRate,TRXUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/TRXUSDT/TRXUSDT-fundingRate-2020-03.zip,755,ecef1e2eb1dc6dda2efa7ecec4cf0a7196941e6a7801c28c1caf143422912c79,True,True,93,False
fundingRate,BNBUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/BNBUSDT/BNBUSDT-fundingRate-2020-04.zip,811,8a89bb0860dbf13684c71afc86453ade0e4288b64c308491e621a48d61418bc9,True,True,90,False
fundingRate,LINKUSDT,2020-03,https://data.binance.vision/data/futures/um/monthly/fundingRate/LINKUSDT/LINKUSDT-fundingRate-2020-03.zip,855,304cef44900b9e1f6cf71d2c42f3d37cdcc45ed2092585a1fcf9aa254dc4554c,True,True,93,False
klines,XRPUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1h/XRPUSDT-1h-2020-04.zip,31116,0b5a8fade812f8d5563b4dbb8f15cb349efd1b6cf874bbc921f6b0f5a25ddf5d,True,True,720,False
fundingRate,XRPUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/XRPUSDT/XRPUSDT-fundingRate-2020-04.zip,712,e3ba018810fb93e89f31baa67f5eaa4b11f7d8d876c1488df8deeb42d88cd170,True,True,90,False
klines,LTCUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/LTCUSDT/1h/LTCUSDT-1h-2020-04.zip,31658,72cfa2363183f0bd03c0968d2200ca10f9012d0348610eb5fe2b904e448907ee,True,True,720,False
klines,ADAUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/ADAUSDT/1h/ADAUSDT-1h-2020-04.zip,30527,2b868720089f1d39de9a22f78f078b9a50fe69308983cbc267831541a5e451f4,True,True,720,False
fundingRate,BCHUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/fundingRate/BCHUSDT/BCHUSDT-fundingRate-2020-04.zip,693,0d40669651f1037db414354228a0ef07ad1b5c6cbac4b520dff4fc325bce9663,True,True,90,False
klines,EOSUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/EOSUSDT/1h/EOSUSDT-1h-2020-04.zip,29515,b4020bccc28c1adba1ca35f6d704323cb1adedec4f8ccd3f165eb4fc375ec855,True,True,720,False
klines,DOGEUSDT,2020-04,https://data.binance.vision/data/futures/um/monthly/klines/DOGEUSDT/1h/DOGEUSDT-1h-2020-04.zip,0,,False,,0,True
