candidate,eligible,score,periods_positive,cagr,sharpe,dd,turnover,severe,selection_cagr,selection_sharpe,selection_dd
country_l126-252_k4_s00__r5__v12__g114,False,-0.1605906544563046,False,False,False,False,27.349799909262572,False,-0.03194201678870323,-0.2709948516154885,-0.4946623506452663
country_l126-252_k2_s15__r10__v15__g114,False,-0.16065047795004497,False,False,False,False,42.01957998307833,False,-0.021756346161362017,-0.16139728773191306,-0.5382321535494221
country_l21-63-126-252_k3_s00__r10__v18__g125,False,-0.16065289771139868,False,False,False,False,39.53946405996043,False,-0.020998206106657036,-0.133996465445331,-0.5781038733349875
country_l21-63-126-252_k2_s00__r5__v15__g114,False,-0.16074452921898308,False,False,False,False,37.138425486601086,False,-0.026027589924238925,-0.18602031802085126,-0.5265098800403862
country_l126-252_k4_s25__r20__v12__g100,False,-0.1612420297204603,False,False,False,False,32.459079004957104,False,-0.026773426050658355,-0.2591615235690495,-0.5072891487195993
country_l126-252_k4_s15__r10__v12__g114,False,-0.1614638467299555,False,False,False,False,33.48731585796433,False,-0.02663624315911317,-0.23538727597067924,-0.518677067438734
country_l21-63-126-252_k3_s15__r20__v12__g114,False,-0.1616397479030025,False,False,False,False,39.35534764895588,False,-0.02599107571254189,-0.22816093039267912,-0.4898482100149122
country_l21-63-126-252_k3_s15__r10__v12__g100,False,-0.162228534079272,False,False,False,False,37.394524814424244,False,-0.026499276936259974,-0.2454141696278166,-0.49195543577204104
country_l126-252_k2_s25__r20__v15__g100,False,-0.1622985691703217,False,False,False,False,39.03057872072882,False,-0.022826639446671737,-0.18556742387449207,-0.5458973907698129
country_l126-252_k4_s15__r20__v15__g114,False,-0.16232599148125668,False,False,False,False,35.84350033144298,False,-0.02583136066879288,-0.20223463801244174,-0.5361844445318442
country_l21-63-126-252_k4_s00__r5__v12__g100,False,-0.16254166390346744,False,False,False,False,29.10597101942194,False,-0.03127043598072321,-0.276796058177299,-0.49657100723728254
combined_l21-63-126-252_k2_s25__r10__v18__g125,False,-0.16256493199276345,False,False,False,False,65.44273436751692,False,-0.01626552989196206,-0.12489125686381324,-0.45578361364602105
country_l126-252_k2_s25__r10__v15__g100,False,-0.16366301428709903,False,False,False,False,39.962670048811326,False,-0.022769786661411717,-0.18667019773512442,-0.5484235853557571
country_l126-252_k3_s25__r20__v12__g100,False,-0.16375109202724483,False,False,False,False,33.45089650990681,False,-0.027828909320336104,-0.2653956283220746,-0.5062114890986298
country_l21-63-126-252_k2_s00__r5__v12__g125,False,-0.16381191564615294,False,False,False,False,33.26000102008046,False,-0.029795073222866897,-0.24445384708995382,-0.5087430446280681
country_l21-63-126-252_k3_s25__r20__v12__g100,False,-0.16392828087947198,False,False,False,False,38.73034954745509,False,-0.026448359436377578,-0.25369993160775584,-0.48919719156575836
country_l21-63-126-252_k3_s15__r10__v15__g100,False,-0.16398928200901453,False,False,False,False,40.046570250788086,False,-0.02590731659033807,-0.21549259516788413,-0.5099075710073331
country_l126-252_k4_s15__r20__v12__g125,False,-0.16412388199509098,False,False,False,False,34.198826404030555,False,-0.027642613325250975,-0.2371810651426923,-0.5237622383436015
country_l126-252_k2_s15__r10__v18__g114,False,-0.16413965236489678,False,False,False,False,44.21503680352308,False,-0.020911288287635554,-0.14283748447237896,-0.564863858843335
country_l21-63-126-252_k4_s00__r10__v18__g125,False,-0.16426169042126146,False,False,False,False,37.063595342921744,False,-0.02314570291336071,-0.149418258321282,-0.5940704422190053
country_l126-252_k2_s00__r5__v15__g125,False,-0.1646357883788474,False,False,False,False,37.55247828725601,False,-0.029680470829619887,-0.20594765727636138,-0.5120538235622356
country_l63-126-252_k2_s00__r5__v18__g114,False,-0.16473199559811252,False,False,False,False,39.953590043739624,False,-0.025509140270873365,-0.1642518604483569,-0.5522938615910922
country_l126-252_k4_s00__r5__v15__g114,False,-0.164996593243058,False,False,False,False,30.922338393616847,False,-0.03195919464158792,-0.23321221303998627,-0.5252922593590306
country_l63-126-252_k3_s00__r5__v12__g114,False,-0.16526393812152806,False,False,False,False,29.919302695897212,False,-0.032194299868588905,-0.27254657139398064,-0.5059711894509592
combined_l21-63-126-252_k2_s25__r5__v18__g125,False,-0.1652840039059254,False,False,False,False,66.22765164229683,False,-0.020109774335983488,-0.1537350667615583,-0.4238204750099285
country_l126-252_k3_s15__r20__v12__g125,False,-0.16540029126424272,False,False,False,False,35.38789234309474,False,-0.028347464451221605,-0.24146763977114216,-0.5167878032854143
country_l126-252_k2_s15__r20__v15__g125,False,-0.16544757713103364,False,False,False,False,43.11771329458343,False,-0.02346299589901868,-0.16781517086513542,-0.5472356723394534
country_l63-126-252_k3_s15__r20__v12__g100,False,-0.16574737785607327,False,False,False,False,33.512695123589204,False,-0.02879156718947884,-0.2674189187722103,-0.5113414911052279
country_l126-252_k3_s15__r10__v15__g100,False,-0.1660912302088952,False,False,False,False,34.95400142400218,False,-0.028151460408873286,-0.23253492137887286,-0.5315485082542164
country_l21-63-126-252_k4_s00__r10__v15__g125,False,-0.16629144997689793,False,False,False,False,34.26114635446699,False,-0.026146086878326646,-0.18805982685951694,-0.580521560387684
country_l126-252_k3_s15__r20__v15__g114,False,-0.1663462087350253,False,False,False,False,37.478461860736545,False,-0.027590332512209104,-0.2133829152180457,-0.532927485601834
country_l63-126-252_k3_s00__r5__v18__g114,False,-0.16643461680706034,False,False,False,False,36.758929959284686,False,-0.02843710140947353,-0.1866086357253312,-0.5505181457717934
country_l21-63-126-252_k3_s15__r20__v15__g114,False,-0.1667088843608623,False,False,False,False,42.99903020404258,False,-0.02599860128322229,-0.2013159026514782,-0.5171977507229972
country_l21-63-126-252_k3_s15__r10__v18__g100,False,-0.16721284041205706,False,False,False,False,41.46417615380551,False,-0.02673516953193622,-0.20863166033341743,-0.5210021912864904
country_l126-252_k2_s15__r5__v12__g100,False,-0.16727889482780683,False,False,False,False,36.280368394648974,False,-0.030580678711787046,-0.27258800998511595,-0.48772697815239463
country_l126-252_k2_s25__r20__v12__g114,False,-0.16755213716830408,False,False,False,False,39.34046008667362,False,-0.025974471857226344,-0.2254877766495359,-0.5312561837296701
combined_l21-63-126-252_k2_s25__r20__v15__g125,False,-0.16815551035312762,False,False,False,False,62.35714385603389,False,-0.01962657174019178,-0.1606736298495331,-0.46736287847965763
country_l126-252_k4_s25__r10__v12__g100,False,-0.16823143125547177,False,False,False,False,33.17088190706016,False,-0.028586952644382047,-0.2767607290062363,-0.5253168253560396
country_l63-126-252_k2_s00__r5__v15__g114,False,-0.16856099804286873,False,False,False,False,37.09098174557861,False,-0.02926774071274607,-0.20939114061970443,-0.5417544101504906
country_l63-126-252_k2_s00__r5__v12__g125,False,-0.16968368755783592,False,False,False,False,33.5542005938993,False,-0.032380980295903194,-0.2656910449728415,-0.5145293478049952
country_l63-126-252_k2_s15__r20__v12__g100,False,-0.1697214315743724,False,False,False,False,35.83489272995352,False,-0.027869888884052396,-0.2516527155904776,-0.5390091893421247
country_l63-126-252_k3_s15__r20__v15__g100,False,-0.1700167960721535,False,False,False,False,35.964872914725404,False,-0.02920481915533224,-0.2430694502282605,-0.5369343931951319
