,equity,gross,turnover,short_gross
2011-03-22 00:00:00+00:00,11011.834852350707,1.0,0.0,0.0
2011-03-23 00:00:00+00:00,11092.25279378522,1.0,0.0,0.0
2011-03-24 00:00:00+00:00,11183.844441869403,1.0,0.0,0.0
2011-03-25 00:00:00+00:00,11238.867150319296,1.0,0.0,0.0
2011-03-28 00:00:00+00:00,11187.967591230752,1.0,0.0,0.0
2011-03-29 00:00:00+00:00,11299.654572157911,1.0,0.0,0.0
2011-03-30 00:00:00+00:00,11390.503676772641,1.0,0.0,0.0
2011-03-31 00:00:00+00:00,11393.174625977568,1.0,0.0,0.0
2011-04-01 00:00:00+00:00,11454.096835999706,1.0,0.0,0.0
2011-04-04 00:00:00+00:00,11457.608758291613,1.0,0.5,0.0
2011-04-05 00:00:00+00:00,11467.958901217437,1.0,0.0,0.0
2011-04-06 00:00:00+00:00,11449.216223282983,1.0,0.0,0.0
2011-04-07 00:00:00+00:00,11427.8051494864,0.9999999999999999,1.1102230246251565e-16,0.0
2011-04-08 00:00:00+00:00,11387.702507043345,1.0,1.1102230246251565e-16,0.0
2011-04-11 00:00:00+00:00,11345.138234189992,1.0,0.0,0.0
2011-04-12 00:00:00+00:00,11241.767029480345,1.0,0.0,0.0
2011-04-13 00:00:00+00:00,11256.144767013255,1.0,0.0,0.0
2011-04-14 00:00:00+00:00,11285.510714493328,1.0,0.0,0.0
2011-04-15 00:00:00+00:00,11344.30906090492,1.0,0.0,0.0
2011-04-18 00:00:00+00:00,11220.650343730698,1.0,0.0,0.0
2011-04-19 00:00:00+00:00,11285.55996438045,1.0,0.0,0.0
2011-04-20 00:00:00+00:00,11435.621309702849,1.0,0.5,0.0
2011-04-21 00:00:00+00:00,11452.097227298093,1.0,0.5,0.0
2011-04-25 00:00:00+00:00,11385.19618519809,1.0,0.5,0.0
2011-04-26 00:00:00+00:00,11506.439161317676,1.0,0.5,0.0
2011-04-27 00:00:00+00:00,11568.657713537068,1.0,0.0,0.0
2011-04-28 00:00:00+00:00,11611.441747628358,1.0,0.0,0.0
2011-04-29 00:00:00+00:00,11673.357068505265,1.0,0.0,0.0
2011-05-02 00:00:00+00:00,11663.547052391992,1.0,0.0,0.0
2011-05-03 00:00:00+00:00,11578.42049666379,1.0,0.0,0.0
2011-05-04 00:00:00+00:00,11478.96840312329,1.0,0.0,0.0
2011-05-05 00:00:00+00:00,11356.779806971761,1.0,0.5,0.0
2011-05-06 00:00:00+00:00,11398.859807598628,1.0,0.0,0.0
