policy,audit,period,total_return,cagr,sharpe,max_drawdown,annual_turnover,average_gross,max_gross,max_stress_gross,minimum_margin_buffer,liquidations,forced_exits,costs,funding_pnl,financing_drag,rebalance_events,average_risk_budget,final_equity
diversified_growth_k4_convex,delay_1d,holdout_2025,-0.014950762368252768,-0.01500141150532075,-0.16399650179889325,-0.05671010525908393,10.12576265550924,0.10882168321698997,0.3626154025653494,0.3598937376486929,0.9188444436134702,0,1,1664.8514813264198,-231.52213439630793,0.0,188,0.10875270931667756,9850.492376317472
diversified_growth_k4_convex,delay_1d,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_convex,delay_1d,full,4.339753033038323,0.35663630595050133,1.1360095779396144,-0.25154084452606906,11.25192640731449,0.10729431751977954,0.9015257105319222,0.8985507362267343,0.7428069647467334,0,1,6811.6160698555705,-5672.296695303613,0.0,868,0.1062156193265916,53397.53033038323
diversified_growth_k4_balanced,base,development,2.7935463144347015,0.5607017385324657,1.3211588574757613,-0.25147230666016585,12.466162775040507,0.11805712543357152,0.6883200337333494,0.6184293889941714,0.6892953810789685,0,0,3387.5522460784982,-4363.869364476652,0.0,444,0.11580639350540296,37935.46314434701
diversified_growth_k4_balanced,base,validation_2024,0.6234104249160861,0.6239331062752322,1.8402634151842352,-0.1430049656420701,16.041610098341383,0.162735810547102,0.9364093499272683,0.9310380564823741,0.8214164468006347,0,0,2273.867384741233,-1342.8384807269576,0.0,192,0.16215655740364623,16234.10424916086
diversified_growth_k4_balanced,base,holdout_2025,-0.05796726643750649,-0.058159266798157416,-0.2186232492127393,-0.157492193432884,24.193360524308456,0.23255350504685843,1.0140493960496606,1.013962497353471,0.7659228759028691,0,1,4614.1161573366935,-735.0832548946835,1.5366060534656132,186,0.23228372858937565,9420.327335624936
diversified_growth_k4_balanced,base,final_2026h1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,10000.0
diversified_growth_k4_balanced,base,full,4.8014922305446515,0.37727769020012447,1.1420685979807812,-0.25147230666016585,14.107454133916852,0.13638061203393298,1.0140493960496606,1.013962497353471,0.6892953810789685,0,1,10275.535788156423,-6441.791100098294,1.5366060534656132,822,0.13499793813317032,58014.92230544651
diversified_growth_k4_balanced,severe,development,1.8191474119339657,0.41343611537845515,1.12080597958595,-0.269534782365935,10.844149693327314,0.10346363647040388,0.6679272789632476,0.6248225972856982,0.6835381091774106,0,0,4577.074045118536,-6910.531327033545,0.0,387,0.10118786710531878,28191.47411933966
diversified_growth_k4_balanced,severe,validation_2024,0.10183624833173255,0.10190724265397177,0.7659077559029033,-0.12324664003149177,7.42479925187053,0.08032639394875538,0.7480626195514879,0.7393964631799527,0.8129261864176622,0,0,1350.7501098199484,-846.8584074945554,0.0,192,0.07986163018818555,11018.362483317325
