name,family,carry_budget,convex_budget,contango_threshold,crisis_threshold,spike_threshold,confirm_days,hold_days,worst_up_shock_return,worst_down_shock_return,worst_synthetic_overnight_return,max_synthetic_gain,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_synthetic_shock,gate_zero_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_cagr,gate_stress_drawdown,gate_stress_zero_liquidations,gate_stress_positive_margin,eligible_before_2021,score
switch_ca04_cv04_c02_s10_h3,carry_convex_switch,0.04,0.04,0.02,0.0,0.1,2,3,-0.01,-0.02,-0.02,0.04,-0.01522991086780845,-0.20554213819037548,-0.22908475993146127,-0.47994770661477193,3.050158347291019,0,0.8776377952755905,-0.05885536306565553,-0.03748461153317528,-0.015313559238931962,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.6604514917890296
carry_b04_c04_q1_h7,carry_only,0.04,0.0,0.04,0.0,0.15,1,7,-0.01,0.0,-0.01,0.003000000000000001,-0.001981485873522315,-0.029299643736941938,-0.03942168191102102,-0.6295686972200314,1.6498106510224027,0,0.870504641004641,-0.017789035192372626,-0.013229308620324676,0.0016151228403666895,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.6722406164328104
carry_b04_c06_q1_h7,carry_only,0.04,0.0,0.06,0.0,0.15,1,7,-0.01,0.0,-0.01,0.003000000000000001,-0.0018237780740401055,-0.02699734272448051,-0.03189110938418527,-0.6359072153286407,1.4647836522516935,0,0.875188184431716,-0.016686598001518615,-0.009689538940040321,0.00041100225124957035,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.6726481626913303
carry_b04_c02_q1_h7,carry_only,0.04,0.0,0.02,0.0,0.15,1,7,-0.01,0.0,-0.01,0.003000000000000001,-0.0022021381915210414,-0.032512309610011614,-0.037968562052835164,-0.6598050115145442,1.8345510352907413,0,0.8705046410046411,-0.015881153178139207,-0.015950935414654643,0.001222733341393889,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7040390792769112
carry_b08_c06_q1_h7,carry_only,0.08,0.0,0.06,0.0,0.15,1,7,-0.02,0.0,-0.02,0.006000000000000002,-0.003654708453246225,-0.05341509522254051,-0.06284041378286431,-0.6363307344740474,2.930467256104999,0,0.8503763688634318,-0.03313786860043699,-0.01932745319072826,0.0008003950548127747,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.709365030833022
carry_b08_c04_q1_h7,carry_only,0.08,0.0,0.04,0.0,0.15,1,7,-0.02,0.0,-0.02,0.006000000000000002,-0.003971886969659777,-0.05792293606797383,-0.07738676950098256,-0.6300604794865199,3.30072658108603,0,0.8410092820092819,-0.03530972607908578,-0.026339997974997864,0.0032046329500596826,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7147049039871911
carry_b04_c04_q3_h3,carry_only,0.04,0.0,0.04,0.0,0.15,3,3,-0.01,0.0,-0.01,0.003000000000000001,-0.001678808994798664,-0.024876513666097222,-0.027525428961253873,-0.7040243628317356,1.1357319369573518,0,0.8751881844317161,-0.006211408215963554,-0.014606304558587468,-0.0008912805185331552,False,False,True,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7350020146715334
switch_ca08_cv04_c06_s10_h3,carry_convex_switch,0.08,0.04,0.06,0.0,0.1,2,3,-0.02,-0.02,-0.02,0.04,-0.01713660411874507,-0.2282944438770106,-0.25064075710342926,-0.5394349031018995,3.6339635714640095,0,0.862650960341057,-0.06880500644368437,-0.04802998914548662,-0.011429194673975296,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7403681256057443
carry_b12_c06_q1_h7,carry_only,0.12,0.0,0.06,0.0,0.15,1,7,-0.03,0.0,-0.03,0.009000000000000001,-0.005492750827083004,-0.07926093324806582,-0.09287317300199904,-0.6367548874407711,4.397054412489827,0,0.8255645532951478,-0.04935629534825958,-0.028913461290606568,0.0011681265918248585,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7456475197208349
carry_b08_c02_q1_h7,carry_only,0.08,0.0,0.02,0.0,0.15,1,7,-0.02,0.0,-0.02,0.006000000000000002,-0.004414119337424305,-0.0641746473528042,-0.07462346680305865,-0.6603625926157312,3.6702949073210154,0,0.8410092820092819,-0.03156143325588978,-0.03170953716514091,0.002413571866656028,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7482055137653192
switch_ca08_cv04_c04_s10_h3,carry_convex_switch,0.08,0.04,0.04,0.0,0.1,2,3,-0.02,-0.02,-0.02,0.04,-0.017249729623972976,-0.22962505588911108,-0.2507473470787628,-0.541622429534442,4.198972803417873,0,0.862650960341057,-0.06981445650478835,-0.05004272401712562,-0.011875227670060995,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7484852903559481
switch_ca08_cv04_c02_s10_h3,carry_convex_switch,0.08,0.04,0.02,0.0,0.1,2,3,-0.02,-0.02,-0.02,0.04,-0.01720217094400156,-0.2290659192508373,-0.24935513018893007,-0.5383974948031017,4.607578338923087,0,0.8626509603410569,-0.06985492462614473,-0.050118460531612063,-0.014929725319621334,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7485551851748008
switch_ca04_cv08_c06_s10_h3,carry_convex_switch,0.04,0.08,0.06,0.0,0.1,2,3,-0.01,-0.04,-0.04,0.08,-0.02912474743617799,-0.3579864961844167,-0.39776506988239113,-0.4476739400075049,4.044998633995787,0,0.8552755905511812,-0.10477904716008013,-0.06378419841212135,-0.031072117139867128,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7552559561610144
carry_b12_c04_q1_h7,carry_only,0.12,0.0,0.04,0.0,0.15,1,7,-0.03,0.0,-0.03,0.009000000000000001,-0.005971160200515135,-0.08587927735838363,-0.113945057512708,-0.6305541376164707,4.952757319082481,0,0.8115139230139231,-0.052565130954964956,-0.0393322234196225,0.0047683684225785505,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7564965599646798
switch_ca04_cv08_c04_s10_h3,carry_convex_switch,0.04,0.08,0.04,0.0,0.1,2,3,-0.01,-0.04,-0.04,0.08,-0.0291798794664202,-0.3585328755817212,-0.3978021373273031,-0.448499187415312,4.327436571006728,0,0.8552755905511812,-0.10526253770554173,-0.06477147564119867,-0.03128859242834636,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7590343807218711
switch_ca04_cv08_c02_s10_h3,carry_convex_switch,0.04,0.08,0.02,0.0,0.1,2,3,-0.01,-0.04,-0.04,0.08,-0.029155634018242504,-0.35829264744684564,-0.39712961822857684,-0.44793131367238415,4.531709161872426,0,0.855275590551181,-0.10528024111808976,-0.06480646417181701,-0.032784185059263504,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7601244824418818
carry_b08_c04_q3_h3,carry_only,0.08,0.0,0.04,0.0,0.15,3,3,-0.02,0.0,-0.02,0.006000000000000002,-0.003362084368957685,-0.04923838333846253,-0.05436668531873945,-0.7043790760619726,2.2721036336791984,0,0.8503763688634318,-0.01240977849969116,-0.029030846221438367,-0.0017984183324698533,False,False,True,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7660076237960497
carry_b04_c02_q3_h3,carry_only,0.04,0.0,0.02,0.0,0.15,3,3,-0.01,0.0,-0.01,0.003000000000000001,-0.001903599788149024,-0.02816325808471576,-0.030541891472435356,-0.7503949031957874,1.3224147414033336,0,0.875188184431716,-0.0072721827922266336,-0.015128575610593553,-0.001077261861774037,False,False,True,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7851971959223364
carry_b12_c02_q1_h7,carry_only,0.12,0.0,0.02,0.0,0.15,1,7,-0.03,0.0,-0.03,0.009000000000000001,-0.006635888160987813,-0.09500148339735415,-0.11000492163108466,-0.6609224635896312,5.507244282510585,0,0.8115139230139231,-0.04704239318309289,-0.04727697085774829,0.003572360858036472,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.7917691435522549
carry_b12_c04_q3_h3,carry_only,0.12,0.0,0.04,0.0,0.15,3,3,-0.03,0.0,-0.03,0.009000000000000001,-0.005049804766071864,-0.0730933443520021,-0.08053860659533785,-0.7047345875522127,3.4091185424211985,0,0.8255645532951478,-0.018594875662868993,-0.04327539185129481,-0.0027213945236937986,False,False,True,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.7966946858062374
