strategy_id,period,transition,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition->transition,43,0.01461290768813743,0.014507168017230268,239.05512630373778,0.00034731056613726617,1.474465257081724,0.4418604651162791,0.5581395348837209,-0.009997482682426284,-0.0053547781392083715,0.2188601870772748,0.005089771792494763,0.06628509374392566,10.890107172175904,-4.094115810785431,254.0393492869509,0.48387290214621737,0.5444740241475694,0.5441190301788338,1,0,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition->transition_2,9,0.022078064355988292,0.02183787277437936,372.24205555763547,0.002431331961912352,22.11164085037191,0.8888888888888888,0.1111111111111111,-0.0002782840753587923,-6.676350606178437e-05,0.0,0.0,,0.0,-0.36643537394786063,372.6084909316369,0.4819597647000495,0.5600625545354782,0.5627997313753714,0,0,0,0,0.0,9
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition_2->deleveraging,3,-0.003187577817729714,-0.003192668965734136,-54.65958676891387,-0.0010636284855794302,-69.62849073727975,0.0,1.0,-0.0012935682558408157,-0.0012804122765937675,0.0,0.0,,0.0,6.9014912188468465,-61.561077987832775,0.43767785636821355,0.4703626762567872,0.4704922545363353,0,0,0,1,0.3333333333333333,3
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition_2->rotation,1,0.0017820307247484735,0.0017804447918377514,29.948217170534917,0.0017820307247484735,0.0,1.0,0.0,0.0017820307247484735,0.0017820307247484735,0.0,0.0,,0.0,0.0,29.948217170565737,0.48085013277905686,0.4831926269146995,0.4844021774738766,0,0,0,1,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition_2->transition,8,0.003683101964210536,0.003676335952356477,63.35815148457914,0.0004627248363867492,3.3339525566599595,0.625,0.375,-0.00428799099470889,-0.003477032188707263,0.0,0.0,,0.0,-0.4737754354851583,63.831926920018205,0.4669287459575541,0.4967067795817116,0.4967815442533116,0,0,0,0,0.0,8
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,transition_2->transition_2,164,0.015650242190288658,0.015529040076013072,267.46312293102164,9.954050458059573e-05,0.6089418725182439,0.5,0.5,-0.011975985526983646,-0.004735881508690198,1.7556748304322514,0.010705334331903972,0.008845054794223931,90.00319976872277,-35.02026094300383,392.4865836427534,0.49900651267078033,0.6036631430893223,0.602184276359218,4,1,0,13,0.07926829268292683,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,calm_risk_on->calm_risk_on,10,-0.04133544130766473,-0.04221404767229515,-689.1489733744402,-0.004164934561580735,-7.733662078808963,0.3,0.7,-0.018250654254370557,-0.015338840920425178,0.1006985111524685,0.01006985111524685,-0.41921223252624346,5.011394900973112,-12.680606164499215,-671.4569723090124,0.5353358247126887,0.6006908233191901,0.6036888247177866,0,1,0,4,0.4,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,calm_risk_on->speculative_risk_on,1,0.007817012670729317,0.00778661812081581,124.93899921517368,0.007817012670729317,0.0,1.0,0.0,0.007817012670729317,0.007817012670729317,0.0,0.0,,0.0,0.7950117825101096,124.14398743265812,0.4896321409959546,0.503161513229324,0.5119474525166626,0,0,0,0,0.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,deleveraging->deleveraging,2,0.0034900391810189168,0.003483963127282843,58.97565579225011,0.001745125848997997,13.061224624424511,0.5,0.5,-5.986201963659177e-05,0.00012063676722686714,0.0,0.0,,0.0,-0.978892621347462,59.95454841359613,0.461337682629444,0.5211996434762985,0.5219888656950897,0,0,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,deleveraging->transition,5,-0.0031068796383764705,-0.003111716008865344,-52.119190957500905,-0.0006201781243997395,-5.340366843063867,0.4,0.6,-0.00391726349792898,-0.003365375885645383,0.2276964698250122,0.04553929396500244,-0.013666070498399643,11.576036316488423,-4.665188362755855,-35.87796627828782,0.5056556193462092,0.5391894443900282,0.5421313958173904,1,0,0,0,0.0,5
